                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.83967,                0.82833,                0.46044,                0.82085,                0.99927,                      1,                  0.995,                  0.624,                0.99927,                      1,                  0.995,                 0.5023,                 1.5048,                 2.1115,                0.61745,                  1.006,               0.005248,               0.005248,               0.005248
                     26,                 0.8356,                0.62832,                 0.4732,                0.80845,                0.99928,                      1,                  0.995,                0.51633,                0.99928,                      1,                  0.995,                0.45617,                  1.636,                 2.1635,                0.62202,                 1.0373,                0.00505,                0.00505,                0.00505
                     27,                0.81433,                0.62574,                0.45932,                0.81117,                 0.9992,                      1,                  0.995,                0.66937,                 0.9992,                      1,                  0.995,                  0.506,                 1.4674,                 2.0282,                0.69548,                0.99392,               0.004852,               0.004852,               0.004852
                     28,                0.81024,                0.77545,                0.45814,                0.80091,                 0.9989,                      1,                  0.995,                0.69711,                 0.9989,                      1,                  0.995,                0.61456,                 1.2313,                 1.7058,                0.57269,                0.94278,               0.004654,               0.004654,               0.004654
                     29,                0.78372,                0.51862,                0.43623,                0.79275,                 0.9993,                      1,                  0.995,                 0.7084,                 0.9993,                      1,                  0.995,                 0.7037,                  1.183,                 1.8882,                0.49783,                0.93217,               0.004456,               0.004456,               0.004456
                     30,                0.74599,                0.66057,                0.42002,                0.80115,                      1,                      1,                  0.995,                  0.675,                      1,                      1,                  0.995,                 0.6775,                  1.289,                 2.0914,                0.60454,                0.96187,               0.004258,               0.004258,               0.004258
                     31,                0.77323,                 0.6728,                0.42767,                0.80856,                0.99918,                      1,                  0.995,                0.67145,                0.99918,                      1,                  0.995,                0.47271,                 1.3957,                 2.5838,                0.57851,                 1.0073,                0.00406,                0.00406,                0.00406
                     32,                0.74684,                0.63151,                0.42848,                0.82078,                  0.999,                      1,                  0.995,                0.62625,                  0.999,                      1,                  0.995,                0.36133,                 1.3848,                  2.556,                0.68333,                 1.0103,               0.003862,               0.003862,               0.003862
                     33,                0.70897,                0.66997,                0.40669,                0.80121,                0.99848,                      1,                  0.995,                0.62875,                0.99848,                      1,                  0.995,                  0.396,                 1.5157,                  2.006,                0.74075,                 1.0243,               0.003664,               0.003664,               0.003664
                     34,                0.78399,                0.68436,                0.42427,                0.80178,                0.99917,                      1,                  0.995,                0.57833,                0.99917,                      1,                  0.995,                0.51183,                 1.4996,                 1.8156,                0.59699,                 1.0059,               0.003466,               0.003466,               0.003466
                     35,                0.74536,                0.64471,                0.42257,                 0.7974,                0.99926,                      1,                  0.995,                0.74833,                0.99926,                      1,                  0.995,                0.60158,                  1.134,                 1.3888,                0.56801,                0.92123,               0.003268,               0.003268,               0.003268
                     36,                0.67772,                0.59277,                 0.3969,                0.80033,                0.99922,                      1,                  0.995,                0.71946,                0.99922,                      1,                  0.995,                0.53521,                 1.1636,                 1.6768,                 0.4978,                0.93333,                0.00307,                0.00307,                0.00307
                     37,                0.62516,                0.59685,                0.37638,                0.80357,                0.99931,                      1,                  0.995,                 0.6775,                0.99931,                      1,                  0.995,                0.49371,                 1.3361,                  1.711,                0.52128,                0.95648,               0.002872,               0.002872,               0.002872
                     38,                0.61419,                0.57768,                0.38021,                0.79672,                0.99931,                      1,                  0.995,                0.65708,                0.99931,                      1,                  0.995,                0.53521,                 1.3602,                   1.73,                0.48851,                0.95204,               0.002674,               0.002674,               0.002674
                     39,                0.62632,                0.47554,                0.36863,                0.81293,                0.99929,                      1,                  0.995,                0.72717,                0.99929,                      1,                  0.995,                0.63025,                 1.2593,                 1.9571,                0.44991,                0.93469,               0.002476,               0.002476,               0.002476
                     40,                 0.5457,                0.70812,                0.34331,                0.78259,                0.99929,                      1,                  0.995,                 0.6775,                0.99929,                      1,                  0.995,                0.61567,                 1.3009,                 2.1333,                0.46989,                0.94617,               0.002278,               0.002278,               0.002278
                     41,                0.53583,                0.64908,                0.34458,                0.78484,                0.99928,                      1,                  0.995,                 0.7286,                0.99928,                      1,                  0.995,                 0.6402,                 1.2229,                  1.978,                0.49433,                0.92457,                0.00208,                0.00208,                0.00208
                     42,                0.52448,                0.69452,                0.33305,                0.78874,                0.99922,                      1,                  0.995,                 0.7435,                0.99922,                      1,                  0.995,                 0.6965,                  1.212,                 1.5051,                0.49633,                0.92831,               0.001882,               0.001882,               0.001882
                     43,                0.51355,                0.58378,                0.32923,                0.77971,                0.99929,                      1,                  0.995,                 0.7435,                0.99929,                      1,                  0.995,                0.69507,                 1.1922,                  1.424,                0.51058,                0.92262,               0.001684,               0.001684,               0.001684
                     44,                0.49186,                0.58478,                0.32033,                 0.7793,                0.99932,                      1,                  0.995,                 0.7711,                0.99932,                      1,                  0.995,                0.69507,                 1.1702,                 1.5745,                 0.5063,                0.92904,               0.001486,               0.001486,               0.001486
                     45,                0.47684,                0.57447,                0.31128,                0.80197,                0.99932,                      1,                  0.995,                0.67655,                0.99932,                      1,                  0.995,                0.61685,                 1.3271,                 1.7595,                0.49262,                0.94696,               0.001288,               0.001288,               0.001288
                     46,                0.46094,                 0.5895,                0.29842,                0.79451,                0.99931,                      1,                  0.995,                 0.7164,                0.99931,                      1,                  0.995,                0.58103,                 1.2245,                 1.8888,                0.45034,                0.92843,                0.00109,                0.00109,                0.00109
                     47,                0.45046,                0.54689,                0.29828,                 0.7821,                0.99933,                      1,                  0.995,                0.73393,                0.99933,                      1,                  0.995,                0.66413,                 1.1952,                 1.9747,                0.45498,                0.91651,               0.000892,               0.000892,               0.000892
                     48,                0.44936,                0.60088,                0.29965,                0.77917,                0.99932,                      1,                  0.995,                0.76485,                0.99932,                      1,                  0.995,                0.61685,                 1.1726,                 1.7668,                 0.4223,                0.92433,               0.000694,               0.000694,               0.000694
                     49,                0.43923,                0.50854,                0.30408,                 0.7696,                0.99932,                      1,                  0.995,                 0.7526,                0.99932,                      1,                  0.995,                0.67655,                 1.1704,                   1.92,                 0.4547,                0.92027,               0.000496,               0.000496,               0.000496
